Iso3,Area,M49,Population,FaoArea,PlumGroup
AFG,Afghanistan,4,37769.499,AFG,Afghanistan
ALB,Albania,8,2873.883,ALB,Albania
DZA,Algeria,12,42705.368,DZA,Algeria
AGO,Angola,24,32353.588,AGO,Angola
ARG,Argentina,32,44745.52,ARG,Argentina
ARM,Armenia,51,2820.602,ARM,Armenia
AUS,Australia,36,25357.17,AUS,Australia
AUT,Austria,40,8879.94,AUT,Austria
AZE,Azerbaijan,31,10232.753,AZE,Azerbaijan
BHR,Bahrain,48,1494.188,ARE,Bahrain & Qatar
QAT,Qatar,634,2807.235,ARE,Bahrain & Qatar
BGD,Bangladesh,50,165516.222,BGD,Bangladesh
BLR,Belarus,112,9673.971,BLR,Belarus
LUX,Luxembourg,442,619.973,LUX,Belgium & Luxembourg
BEL,Belgium,56,11510.568,BEL,Belgium & Luxembourg
BEN,Benin,204,12290.444,BEN,Benin
BTN,Bhutan,64,767.459,NPL,Bhutan
BOL,Bolivia (Plurinational State of),68,11777.315,BOL,Bolivia
BIH,Bosnia and Herzegovina,70,3360.711,BIH,Bosnia and Herzegovina
BWA,Botswana,72,2499.702,BWA,Botswana
BRA,Brazil,76,211782.878,BRA,Brazil
BGR,Bulgaria,100,7052.532,BGR,Bulgaria
BFA,Burkina Faso,854,20951.639,BFA,Burkina Faso
BDI,Burundi,108,11874.838,BDI,Burundi
KHM,Cambodia,116,16207.746,KHM,Cambodia
CMR,Cameroon,120,25782.341,CMR,Cameroon
CAN,Canada,124,37522.584,CAN,Canada
VCT,Saint Vincent and the Grenadines,670,104.924,VCT,Caribbean Other
GRD,Grenada,308,122.724,GRD,Caribbean Other
LCA,Saint Lucia,662,178.583,LCA,Caribbean Other
BRB,Barbados,52,280.18,BRB,Caribbean Other
BHS,Bahamas,44,404.557,BHS,Caribbean Other
TTO,Trinidad and Tobago,780,1519.955,TTO,Caribbean Other
JAM,Jamaica,388,2813.773,JAM,Caribbean Other
CAF,Central African Republic,140,5209.324,CAF,Central African Republic
TCD,Chad,148,16126.866,TCD,Chad
CHL,Chile,152,19039.485,CHL,Chile
CHN,China,159,1430023.806,CHN,China
COL,Colombia,170,50187.406,COL,Colombia
COG,Congo,178,5570.733,COG,Congo
CRI,Costa Rica,188,5084.532,CRI,Costa Rica
CIV,Cote d'Ivoire,384,26147.551,CIV,Cote dIvoire
HRV,Croatia,191,4129.752,HRV,Croatia
CUB,Cuba,192,11316.697,CUB,Cuba
CYP,Cyprus,196,1228.836,CYP,Cyprus
CZE,Czechia,203,10536.871,CZE,Czechia
DNK,Denmark,208,5795.878,DNK,Denmark
DJI,Djibouti,262,1073.994,DJI,Djibouti
DOM,Dominican Republic,214,10881.882,DOM,Dominican Republic
COD,Democratic Republic of the Congo,180,89906.89,COD,DR Congo
ECU,Ecuador,218,17343.74,ECU,Ecuador
EGY,Egypt,818,105618.671,EGY,Egypt
SLV,El Salvador,222,6280.217,SLV,El Salvador
GNQ,Equatorial Guinea,226,1553.031,GAB,Equatorial Guinea
ERI,Eritrea,232,3498.818,ETH,Eritrea
EST,Estonia,233,1327.039,EST,Estonia
SWZ,Eswatini,748,1169.613,SWZ,Eswatini
ETH,Ethiopia,231,114120.594,ETH,Ethiopia
FIN,Finland,246,5521.537,FIN,Finland
FRA,France,250,64399.759,FRA,France
STP,Sao Tome and Principe,678,214.599,STP,Gabon & Sao Tome
GAB,Gabon,266,2242.785,GAB,Gabon & Sao Tome
GEO,Georgia,268,3770.811,GEO,Georgia
DEU,Germany,276,83148.141,DEU,Germany
