Iso3,SSP,Year,population,gdp
TWN,SSP1,2010,23.16,742813
TWN,SSP1,2015,23.44,889439
TWN,SSP1,2020,23.48,1073988
TWN,SSP1,2025,23.36,1208735
TWN,SSP1,2030,23.12,1321155
TWN,SSP1,2035,22.67,1424861
TWN,SSP1,2040,21.99,1513084
TWN,SSP1,2045,21.09,1570705
TWN,SSP1,2050,20.01,1593012
TWN,SSP1,2055,18.82,1587286
TWN,SSP1,2060,17.58,1574961
TWN,SSP1,2065,16.46,1608617
TWN,SSP1,2070,15.45,1631834
TWN,SSP1,2075,14.54,1638589
TWN,SSP1,2080,13.71,1633208
TWN,SSP1,2085,12.97,1610471
TWN,SSP1,2090,12.3,1576924
TWN,SSP1,2095,11.69,1534288
TWN,SSP1,2100,11.14,1482390
AFG,SSP1,2010,28.19,57116.89
AFG,SSP1,2015,33.75,71176.48
AFG,SSP1,2020,38.97,76710.64
AFG,SSP1,2025,44.52,67499.55
AFG,SSP1,2030,49.27,101945.74
AFG,SSP1,2035,53.57,164891.61
AFG,SSP1,2040,57.51,257559.88
AFG,SSP1,2045,60.95,388104.18
AFG,SSP1,2050,63.88,564439.47
AFG,SSP1,2055,66.24,791557.01
AFG,SSP1,2060,68.06,1072591.54
AFG,SSP1,2065,69.37,1406148.53
AFG,SSP1,2070,70.14,1787185.88
AFG,SSP1,2075,70.39,2208180.18
AFG,SSP1,2080,70.01,2655112.37
AFG,SSP1,2085,69.04,3112311.82
AFG,SSP1,2090,67.49,3564785.25
AFG,SSP1,2095,65.44,3999959.14
AFG,SSP1,2100,62.97,4404024.57
AGO,SSP1,2010,23.36,179697.01
AGO,SSP1,2015,28.13,224096.47
AGO,SSP1,2020,33.43,201649.82
AGO,SSP1,2025,38.94,232686.74
AGO,SSP1,2030,42.24,276920.78
AGO,SSP1,2035,44.56,321409.2
AGO,SSP1,2040,46.69,389063.41
AGO,SSP1,2045,48.61,497219.43
AGO,SSP1,2050,50.24,653486.38
AGO,SSP1,2055,51.46,857424.38
AGO,SSP1,2060,52.21,1106839.89
AGO,SSP1,2065,52.55,1396271.12
AGO,SSP1,2070,52.56,1717474.84
AGO,SSP1,2075,52.21,2058523.7
AGO,SSP1,2080,51.51,2407307.02
AGO,SSP1,2085,50.43,2747327.39
AGO,SSP1,2090,48.92,3063619.97
AGO,SSP1,2095,47.01,3342432.96
AGO,SSP1,2100,44.77,3572456.63
ALB,SSP1,2010,2.91,31319.12
ALB,SSP1,2015,2.88,34224.47
ALB,SSP1,2020,2.84,37618.88
ALB,SSP1,2025,2.78,47659.43
ALB,SSP1,2030,2.7,53637.12
ALB,SSP1,2035,2.58,59514.4
ALB,SSP1,2040,2.46,64346.36
ALB,SSP1,2045,2.32,68344.65
ALB,SSP1,2050,2.17,71047.75
ALB,SSP1,2055,2.02,72530.08
ALB,SSP1,2060,1.87,73070.46
ALB,SSP1,2065,1.72,72666.23
ALB,SSP1,2070,1.57,71132.28
ALB,SSP1,2075,1.43,68908.29
ALB,SSP1,2080,1.29,66278.96
ALB,SSP1,2085,1.16,63291.71
ALB,SSP1,2090,1.03,60026.12
ALB,SSP1,2095,0.91,56656.04
ALB,SSP1,2100,0.81,53224.14
ARE,SSP1,2010,8.48,463652.72
ARE,SSP1,2015,8.92,607032.49
ARE,SSP1,2020,9.29,628454.93
ARE,SSP1,2025,9.67,717718.9
ARE,SSP1,2030,10.31,826882.19
ARE,SSP1,2035,11.01,944069.07
ARE,SSP1,2040,11.67,1057542.58
ARE,SSP1,2045,12.27,1157623.5
ARE,SSP1,2050,12.77,1241798.49
ARE,SSP1,2055,13.17,1319773.51
ARE,SSP1,2060,13.46,1402048.84
ARE,SSP1,2065,13.64,1482472.34
ARE,SSP1,2070,13.73,1558111.82
ARE,SSP1,2075,13.73,1624170.61
ARE,SSP1,2080,13.66,1688313.61
ARE,SSP1,2085,13.59,1755124.09
ARE,SSP1,2090,13.55,1833604.88
ARE,SSP1,2095,13.59,1931617.16
ARE,SSP1,2100,13.71,2052166.23
ARG,SSP1,2010,40.79,959396.22
ARG,SSP1,2015,43.13,1032315.58
ARG,SSP1,2020,45.38,893251.38
ARG,SSP1,2025,46.89,1050062.94
ARG,SSP1,2030,48.29,1351630.38
ARG,SSP1,2035,49.59,1762722.86
ARG,SSP1,2040,50.77,2167226.46
ARG,SSP1,2045,51.79,2568001.92
ARG,SSP1,2050,52.63,2959073.43
ARG,SSP1,2055,53.25,3337366.23
ARG,SSP1,2060,53.65,3701094.04
ARG,SSP1,2065,53.84,4045053.52
ARG,SSP1,2070,53.85,4362384.9
ARG,SSP1,2075,53.68,4642249.72
ARG,SSP1,2080,53.33,4901715.07
ARG,SSP1,2085,52.84,5154276.28
ARG,SSP1,2090,52.24,5399811.73
ARG,SSP1,2095,51.52,5635351.01
ARG,SSP1,2100,50.7,5852648.3
ARM,SSP1,2010,2.95,26719.31
ARM,SSP1,2015,2.88,33121.23
ARM,SSP1,2020,2.81,37476.46
ARM,SSP1,2025,2.78,46558.05
ARM,SSP1,2030,2.71,53947.9
ARM,SSP1,2035,2.63,62339.44
ARM,SSP1,2040,2.55,69878.77
ARM,SSP1,2045,2.47,76637.81
ARM,SSP1,2050,2.37,82100.35
ARM,SSP1,2055,2.27,86209.67
ARM,SSP1,2060,2.17,89779.27
ARM,SSP1,2065,2.07,93266.05
ARM,SSP1,2070,1.97,95552.41
ARM,SSP1,2075,1.87,96561.08
ARM,SSP1,2080,1.77,97096.37
ARM,SSP1,2085,1.67,97239.69
ARM,SSP1,2090,1.57,97301.11
ARM,SSP1,2095,1.48,97655.21
ARM,SSP1,2100,1.41,98312.6
AUS,SSP1,2010,22.03,990666.31
AUS,SSP1,2015,23.82,1132871.64
AUS,SSP1,2020,25.66,1250640.22
AUS,SSP1,2025,26.69,1434977.91
AUS,SSP1,2030,27.81,1635607.49
AUS,SSP1,2035,28.81,1863130.92
AUS,SSP1,2040,29.74,2091950.8
AUS,SSP1,2045,30.63,2328177.25
AUS,SSP1,2050,31.48,2554158.37
AUS,SSP1,2055,32.27,2777639.02
AUS,SSP1,2060,32.98,3015972.45
AUS,SSP1,2065,33.62,3273122.95
AUS,SSP1,2070,34.21,3544219.24
AUS,SSP1,2075,34.76,3816652.98
AUS,SSP1,2080,35.26,4099432.52
AUS,SSP1,2085,35.7,4389103.81
AUS,SSP1,2090,36.01,4683946.86
AUS,SSP1,2095,36.19,4983751.43
AUS,SSP1,2100,36.08,5258561.08
AUT,SSP1,2010,8.36,433587.54
AUT,SSP1,2015,8.64,456972.85
AUT,SSP1,2020,8.92,463573.63
AUT,SSP1,2025,9.01,530802.13
AUT,SSP1,2030,9.08,575627.37
AUT,SSP1,2035,9.12,625899.41
AUT,SSP1,2040,9.15,671127.42
AUT,SSP1,2045,9.17,714972.91
AUT,SSP1,2050,9.18,753078.47
AUT,SSP1,2055,9.17,787832.97
AUT,SSP1,2060,9.12,821157.84
AUT,SSP1,2065,9.07,856936.26
AUT,SSP1,2070,9.01,895912.76
AUT,SSP1,2075,8.98,938161.96
AUT,SSP1,2080,8.96,982904.42
AUT,SSP1,2085,8.94,1029595.44
AUT,SSP1,2090,8.9,1076280.03
AUT,SSP1,2095,8.84,1123283.1
AUT,SSP1,2100,8.75,1169446.95
AZE,SSP1,2010,9.05,127505.26
AZE,SSP1,2015,9.65,143317.92
AZE,SSP1,2020,10.09,138545.95
AZE,SSP1,2025,10.35,153390.19
AZE,SSP1,2030,10.5,166651.45
AZE,SSP1,2035,10.58,178144.71
AZE,SSP1,2040,10.63,192552.55
AZE,SSP1,2045,10.6,208944.52
AZE,SSP1,2050,10.5,225420.91
AZE,SSP1,2055,10.35,243308.1
AZE,SSP1,2060,10.16,266504.42
AZE,SSP1,2065,9.94,297510.84
AZE,SSP1,2070,9.7,331333.63
AZE,SSP1,2075,9.43,362152.55
AZE,SSP1,2080,9.13,392669.61
AZE,SSP1,2085,8.81,423788.44
AZE,SSP1,2090,8.49,457093.78
AZE,SSP1,2095,8.19,491410.46
AZE,SSP1,2100,7.91,524391.93
BDI,SSP1,2010,9.13,7341.03
BDI,SSP1,2015,10.73,8384.12
BDI,SSP1,2020,12.22,8692.92
BDI,SSP1,2025,13.95,10519.97
BDI,SSP1,2030,14.82,19588.63
BDI,SSP1,2035,15.3,36914.22
BDI,SSP1,2040,15.69,62273.63
BDI,SSP1,2045,16.03,97764.32
BDI,SSP1,2050,16.25,144209.7
BDI,SSP1,2055,16.3,201720.65
BDI,SSP1,2060,16.17,270138.73
BDI,SSP1,2065,15.9,348219.65
BDI,SSP1,2070,15.54,433652.67
BDI,SSP1,2075,15.11,522017.22
BDI,SSP1,2080,14.59,608856.7
BDI,SSP1,2085,13.95,688231.36
BDI,SSP1,2090,13.2,757385.87
BDI,SSP1,2095,12.37,814260.26
BDI,SSP1,2100,11.48,855582.97
BEL,SSP1,2010,10.9,522689.14
BEL,SSP1,2015,11.27,557581.13
BEL,SSP1,2020,11.54,565148.53
BEL,SSP1,2025,11.71,642199.68
BEL,SSP1,2030,11.83,698561.65
BEL,SSP1,2035,11.93,768460.3
BEL,SSP1,2040,12.02,832117.77
BEL,SSP1,2045,12.1,891131.41
BEL,SSP1,2050,12.15,943876.61
BEL,SSP1,2055,12.15,993542.68
BEL,SSP1,2060,12.13,1042685.22
BEL,SSP1,2065,12.09,1092593.59
BEL,SSP1,2070,12.06,1143550.89
BEL,SSP1,2075,12.04,1195727.13
BEL,SSP1,2080,12.03,1249334.16
BEL,SSP1,2085,12,1303751.89
BEL,SSP1,2090,11.96,1359988.94
BEL,SSP1,2095,11.89,1417425.97
BEL,SSP1,2100,11.76,1470331.86
BEN,SSP1,2010,9.45,24881.27
BEN,SSP1,2015,10.93,31156.47
BEN,SSP1,2020,12.64,40287.03
BEN,SSP1,2025,14.45,55274.58
BEN,SSP1,2030,15.59,72420.71
BEN,SSP1,2035,16.43,97166.57
BEN,SSP1,2040,17.17,131195.07
BEN,SSP1,2045,17.82,178171.62
BEN,SSP1,2050,18.34,240614.97
BEN,SSP1,2055,18.69,319525.14
BEN,SSP1,2060,18.88,414808
BEN,SSP1,2065,18.94,525018.93
BEN,SSP1,2070,18.89,647579.11
BEN,SSP1,2075,18.73,778362.39
BEN,SSP1,2080,18.47,914752.02
BEN,SSP1,2085,18.11,1052487.57
BEN,SSP1,2090,17.63,1186632.45
BEN,SSP1,2095,17.05,1312844.18
BEN,SSP1,2100,16.37,1426099.38
BFA,SSP1,2010,16.12,26784.13
BFA,SSP1,2015,18.72,34868.95
BFA,SSP1,2020,21.52,45062.65
BFA,SSP1,2025,24.44,58568.52
BFA,SSP1,2030,26.33,84571.26
BFA,SSP1,2035,27.83,126761.99
BFA,SSP1,2040,29.29,186296.34
BFA,SSP1,2045,30.63,267403.25
BFA,SSP1,2050,31.74,373342.9
BFA,SSP1,2055,32.53,504826.2
BFA,SSP1,2060,33,660769.2
BFA,SSP1,2065,33.24,838713.98
BFA,SSP1,2070,33.28,1035247.83
BFA,SSP1,2075,33.13,1244013.25
BFA,SSP1,2080,32.77,1460414.67
BFA,SSP1,2085,32.18,1676160.56
BFA,SSP1,2090,31.35,1881659.06
BFA,SSP1,2095,30.29,2069341.38
BFA,SSP1,2100,29.05,2232562.33
BGD,SSP1,2010,148.39,503842.05
BGD,SSP1,2015,157.83,684569.62
BGD,SSP1,2020,167.42,936113.15
BGD,SSP1,2025,176.42,1353283.46
BGD,SSP1,2030,182.71,1737482.18
BGD,SSP1,2035,187.16,2215111.49
BGD,SSP1,2040,190.28,2768842.86
BGD,SSP1,2045,192.02,3417343.03
BGD,SSP1,2050,192.34,4148218.44
BGD,SSP1,2055,191.34,4942351.49
BGD,SSP1,2060,189.16,5777243.04
BGD,SSP1,2065,185.96,6614010.69
BGD,SSP1,2070,181.93,7429765.35
BGD,SSP1,2075,177.12,8212957.38
BGD,SSP1,2080,171.65,8940248.1
BGD,SSP1,2085,165.59,9594899.33
BGD,SSP1,2090,159.04,10174361.7
BGD,SSP1,2095,152.1,10680721.26
BGD,SSP1,2100,144.85,11098629.65
BGR,SSP1,2010,7.4,134332.72
BGR,SSP1,2015,7.18,143501.09
BGR,SSP1,2020,6.93,155901.6
BGR,SSP1,2025,6.59,191048.87
BGR,SSP1,2030,6.28,226070.8
BGR,SSP1,2035,5.96,262621.07
BGR,SSP1,2040,5.66,289789.4
BGR,SSP1,2045,5.37,308873.85
BGR,SSP1,2050,5.09,320748.65
BGR,SSP1,2055,4.82,328034.29
BGR,SSP1,2060,4.55,333401.07
BGR,SSP1,2065,4.28,335764.99
BGR,SSP1,2070,4.01,333053.18
BGR,SSP1,2075,3.75,326124.54
BGR,SSP1,2080,3.51,318150.38
BGR,SSP1,2085,3.29,310217.96
BGR,SSP1,2090,3.09,303496.92
BGR,SSP1,2095,2.91,298132.31
BGR,SSP1,2100,2.75,293240.62
BHR,SSP1,2010,1.21,55342.29
BHR,SSP1,2015,1.36,66000.86
BHR,SSP1,2020,1.48,70693.7
BHR,SSP1,2025,1.51,77744.7
BHR,SSP1,2030,1.6,88708.13
BHR,SSP1,2035,1.7,101341.26
BHR,SSP1,2040,1.78,112666.32
BHR,SSP1,2045,1.87,122472.73
BHR,SSP1,2050,1.94,131154.63
BHR,SSP1,2055,1.99,139769.82
BHR,SSP1,2060,2.03,148722.68
BHR,SSP1,2065,2.05,157280.15
BHR,SSP1,2070,2.07,164935.09
BHR,SSP1,2075,2.07,171305.24
BHR,SSP1,2080,2.06,176748.14
BHR,SSP1,2085,2.05,181777.77
BHR,SSP1,2090,2.04,187157.3
BHR,SSP1,2095,2.03,193450.98
BHR,SSP1,2100,2.03,200651.01
BHS,SSP1,2010,0.37,12948.09
BHS,SSP1,2015,0.39,13418.55
BHS,SSP1,2020,0.41,10836.21
BHS,SSP1,2025,0.42,14279.3
BHS,SSP1,2030,0.43,16459.56
BHS,SSP1,2035,0.45,19235.4
BHS,SSP1,2040,0.46,22020.72
BHS,SSP1,2045,0.47,24866.52
BHS,SSP1,2050,0.48,27551.25
BHS,SSP1,2055,0.48,30107.31
BHS,SSP1,2060,0.49,32593.21
BHS,SSP1,2065,0.49,35054.96
BHS,SSP1,2070,0.5,37530.47
BHS,SSP1,2075,0.5,39775.94
BHS,SSP1,2080,0.5,41994.92
BHS,SSP1,2085,0.5,44179.9
BHS,SSP1,2090,0.5,46433.98
BHS,SSP1,2095,0.49,48801.56
BHS,SSP1,2100,0.49,51216.53
BIH,SSP1,2010,3.81,40538.87
BIH,SSP1,2015,3.52,43322.91
BIH,SSP1,2020,3.32,47648.96
BIH,SSP1,2025,3.18,57146.7
BIH,SSP1,2030,3.01,67143.18
BIH,SSP1,2035,2.81,77317.39
BIH,SSP1,2040,2.6,84327.83
BIH,SSP1,2045,2.39,88117.47
BIH,SSP1,2050,2.17,88539.33
BIH,SSP1,2055,1.96,86617.73
BIH,SSP1,2060,1.76,83650.85
BIH,SSP1,2065,1.57,78923.6
BIH,SSP1,2070,1.39,73351.02
BIH,SSP1,2075,1.22,67239.94
BIH,SSP1,2080,1.06,60773.14
BIH,SSP1,2085,0.92,54522.27
BIH,SSP1,2090,0.79,48784.35
BIH,SSP1,2095,0.68,43648.47
BIH,SSP1,2100,0.59,39031.5
BLR,SSP1,2010,9.48,164077.04
BLR,SSP1,2015,9.46,173731.33
BLR,SSP1,2020,9.38,180334.96
BLR,SSP1,2025,9.2,192834.79
BLR,SSP1,2030,9.03,241540.89
BLR,SSP1,2035,8.87,303434.81
BLR,SSP1,2040,8.72,362218.25
BLR,SSP1,2045,8.6,414093.78
BLR,SSP1,2050,8.47,457507.41
BLR,SSP1,2055,8.32,497506.07
BLR,SSP1,2060,8.17,539848.71
BLR,SSP1,2065,8.01,582645.81
BLR,SSP1,2070,7.86,620862.23
BLR,SSP1,2075,7.71,652198.58
BLR,SSP1,2080,7.57,680202.57
BLR,SSP1,2085,7.43,708424.68
